nombre,area,condado,sector,naics2,forma_legal,estado_web,redes_sociales,evidencia,fuente_url
Complete Yacht Service,Fort Lauderdale,Broward,Náutico - motores/partes y servicio,81,Inc (Manta; no verificado en Sunbiz),Sin sitio web,Facebook; Yelp,"Est. 1976, ~6 empleados, ~$1.3M ventas (Manta); búsqueda por nombre solo devuelve Facebook/Yelp",https://www.yelp.com/biz/complete-yacht-service-fort-lauderdale
Superior Stainless & Yacht Repair,Fort Lauderdale,Broward,Náutico - soldadura/inox yates,81,No verificado,Sin sitio web,Ninguna encontrada,"BBB A+, desde 1993; solo directorios",https://www.bbb.org/us/fl/ft-lauderdale/profile/boat-repair/superior-stainless-yacht-repair-0633-11011513
Top Quality Yachts Refinishing & Refurbishing,Fort Lauderdale,Broward,Náutico - pintura/refinish yates,81,No verificado,Sin sitio web,Ninguna encontrada,"BBB, desde 1999; búsqueda por nombre solo devuelve BBB",https://www.bbb.org/us/fl/fort-lauderdale/profile/boat-repair/top-quality-yachts-refinishing-refurbishing-0633-4006026
Complete Yacht Care Inc,Fort Lauderdale,Broward,Náutico - mantenimiento yates,81,Inc,Sin sitio web,Ninguna encontrada,"Fundada 2006; solo Manta y D&B",https://www.manta.com/c/mmn3jvb/complete-yacht-care-inc
Ship Side Service Inc,Fort Lauderdale,Broward,Náutico - servicios a yates,81,Inc (posible Admin. Dissolved),Sin sitio web,Ninguna encontrada,"BBB A+, ~22 años; registro estatal muestra CANCEL ADM DISS/REV: verificar en Sunbiz",https://www.bbb.org/us/fl/fort-lauderdale/profile/boat-repair/ship-side-service-0633-22003092
Shoreline Marine LLC,Pompano Beach,Broward,Náutico - reparación/refit,81,LLC (BBB),Sin sitio web,Facebook,"Desde 2014; ficha Yelp no reclamada",https://www.yelp.com/biz/shoreline-marine-pompano-beach
Yacht Mechanics of Florida,Fort Lauderdale,Broward,Náutico - mecánica/hidráulica,81,No verificado,Sitio básico/obsoleto,Yelp; BBB,"42 años; sitio básico + página Genially: candidato a rediseño",https://www.yelp.com/biz/yacht-mechanics-of-florida-fort-lauderdale
Land & Sea Air Conditioning of South Florida Inc,Davie,Broward,HVAC,23,Inc,Sin sitio web,Facebook; Yelp,"Desde 2008; solo directorios y Facebook",https://www.manta.com/c/mb5d3rb/land-sea-air-conditioning-of
Million Air Conditioning Corp,Davie,Broward,HVAC,23,Corp,Sin sitio web,Ninguna encontrada,"Est. 2006, ~3 empleados; contratista certificado DBPR",https://www.manta.com/c/mmym5vw/million-air-conditioning-corporation
First Class Air Conditioning & Appliance Inc,Davie,Broward,HVAC/electrodomésticos,81,Inc,Presencia desordenada,Facebook; Yelp; Nextdoor,"14+ años; fichas duplicadas, sin dominio propio claro",https://www.bbb.org/us/fl/davie/profile/major-appliance-services/first-class-air-conditioning-appliance-inc-0633-90137525
Pompano Beach Texaco,Pompano Beach,Broward,Automotriz - taller/estación,81,No verificado,Sin sitio web,Ninguna encontrada,"BBB: desde 1987",https://www.bbb.org/us/fl/pompano-beach/profile/auto-repair/pompano-beach-texaco-0633-35000319
Our Shop Auto Repairs Inc,Pompano Beach,Broward,Automotriz - taller,81,Inc,Sitio básico/obsoleto,Facebook (x2); Yelp,"Desde 2009; sitio .us básico y Facebook duplicado",https://www.bbb.org/us/fl/pompano-beach/profile/mobile-auto-repair/our-shop-auto-repairs-inc-0633-90426905
Fast Lane Auto Repairs,Pompano Beach,Broward,Automotriz - taller,81,No verificado,No verificado,No verificado,Solo listado BBB,https://www.bbb.org/us/fl/pompano-beach/profile/auto-repair/fast-lane-auto-repairs-0633-90409985
The Auto Spot,Pompano Beach,Broward,Automotriz - taller,81,No verificado,No verificado,No verificado,Solo listado BBB,https://www.bbb.org/us/fl/pompano-beach/profile/auto-repair/the-auto-spot-0633-90092971
Original Look,Pompano Beach,Broward,Automotriz - carrocería,81,No verificado,No verificado,No verificado,Solo listado BBB,https://www.bbb.org/us/fl/pompano-beach/profile/auto-repair/original-look-0633-90132733
Marina Road Boat Yard,Fort Lauderdale,Broward,Náutico - boatyard,81,No verificado,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mh1g76d/marina-road-boat-yard
Yachting Bliss,Pompano Beach,Broward,Náutico - reparación,81,No verificado,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mm0jvj4/yachting-bliss
Elite Yachting Solutions LLC,Pompano Beach,Broward,Náutico - servicios,81,LLC,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mkhwx2k/elite-yachting-solutions-llc
S.A. Marine Services LLC,Pompano Beach,Broward,Náutico - boat lifts,23,LLC,No verificado,No verificado,"Boat lifts en Palm Beach, Broward y Miami-Dade",https://www.manta.com/c/m1xl2v5/s-a-marine-services-llc
All Power Marine Boat Lifts & Docks,Pompano Beach,Broward,Náutico - lifts/docks,23,No verificado,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mm7f0xx/all-power-marine-boat-lifts-docks
T&D Air Conditioning Inc,Davie,Broward,HVAC,23,Inc,No verificado,No verificado,"Manta: 30+ años",https://www.manta.com/c/mr4tgvc/t-d-air-conditioning-inc
CV AC Expert LLC,Davie,Broward,HVAC,23,LLC,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mhw02tp/cv-ac-expert-llc
Ocean Freight Link,Miramar,Broward,Logística - freight forwarding,48,No verificado,No verificado,No verificado,"Manta: ~$2.5M ventas, ~6 empleados",https://www.manta.com/c/mtq3wsd/ocean-freight-link
Promptus LLC,Miramar,Broward,Logística - freight forwarding,48,LLC,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mmfvqs5/promptus-llc
R K A Xpress Inc,Miramar,Broward,Logística - transporte,48,Inc,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mtry58n/r-k-a-xpress-inc
J J Freight Brokerage Inc,Miramar,Broward,Logística - broker de carga,48,Inc,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mt4210t/j-j-freight-brokerage-inc
Markon Realty And Management Inc,Sunrise,Broward,Administración de propiedades,53,Inc,No verificado,No verificado,"Manta: est. 1990, ~11 empleados, ~$750k",https://www.manta.com/c/mm08mz3/markon-realty-and-management-inc
Three Js Management Corporation,Sunrise,Broward,Administración de propiedades,53,Corp,No verificado,No verificado,"Manta: est. 2001, ~5 empleados",https://www.manta.com/c/mw2lslb/three-js-management-corporation
Lindsay-Taylor Property Management Inc,Sunrise,Broward,Administración de propiedades,53,Inc,No verificado,No verificado,"Manta: est. 2015, ~7 empleados",https://www.manta.com/c/mhkhbr0/lindsay-taylor-property-management-inc
YMP Real Estate Management LLC,Sunrise,Broward,Administración de propiedades,53,LLC,No verificado,No verificado,"Manta: est. 2015, ~2 empleados",https://www.manta.com/c/mbybsr5/ymp-real-estate-management-llc
Kryterion Property Services LLC,Sunrise,Broward,Administración de propiedades,53,LLC,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mkxpthn/kryterion-property-services-llc
Lasseter Plumbing Company Inc,North Miami,Miami-Dade,Plomería,23,Inc,No verificado,No verificado,"Manta: ~$500k, ~7 empleados",https://www.manta.com/d/mm2thx3/lasseter-plumbing-company-inc
Rocco Plumbing Inc,North Miami,Miami-Dade,Plomería,23,Inc,No verificado,No verificado,"Manta: est. 2008",https://www.manta.com/c/mtbtgz9/rocco-plumbing-inc
Malu Plumbing Inc,North Miami,Miami-Dade,Plomería,23,Inc,No verificado,No verificado,"Manta: repiping, gas",https://www.manta.com/c/mt4fd3r/malu-plumbing-inc
Just Plumbing,North Miami,Miami-Dade,Plomería,23,No verificado,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mb04c42/just-plumbing
Plumbing Experts,North Miami Beach,Miami-Dade,Plomería,23,No verificado,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mttg4zn/plumbing-experts
New England Plumbing,Miami Shores,Miami-Dade,Plomería,23,No verificado,No verificado,No verificado,Listado Manta,https://www.manta.com/c/mx0vyzw/new-england-plumbing
