nombre,area,condado,sector,naics2,forma_legal,estado_web,redes_sociales,evidencia,fuente_url
Jonel Knitting Mills Inc,Hialeah,Miami-Dade,Manufactura textil (tejidos de punto),31,Inc,Sin web detectada,Ninguna encontrada,"Manta: fundada 1987, ~25 empleados; sin web ni Facebook",https://www.manta.com/c/mmn1h0x/jonel-knitting-mills-inc
Steel Works Rebar Fabricators LLC,Medley,Miami-Dade,Fabricación de acero/varilla,33,LLC,Sin web detectada,Facebook,"Est. 2007, 10-19 empleados; solo directorios y Facebook",https://www.manta.com/c/mmcwr0p/steel-works-rebar-fabricators-llc
All Welding and Machine Shop Inc,Medley,Miami-Dade,Soldadura/taller industrial,33,Inc,Sin web detectada,Ninguna encontrada,"Solo YellowPages, Superpages, Manta, Waze",https://www.yellowpages.com/medley-fl/mip/all-welding-and-machine-shop-inc-474064250
Hialeah Plumbing Supply Company,Hialeah,Miami-Dade,Distribución suministros de plomería,42,Corp (Sunbiz: Florida Profit Corp),Sin web detectada,Ninguna encontrada,"Sunbiz: registrada 05/17/1989, Active",https://search.sunbiz.org/Inquiry/CorporationSearch/ByName
Florida Paving & Trucking Inc,Homestead,Miami-Dade,Pavimentación/movimiento de tierra,23,Inc,Sin web detectada,Nextdoor,"Est. 1992; solo BBB, D&B, Manta, Yelp, Procore",https://www.bbb.org/us/fl/homestead/profile/paving-contractors/florida-paving-trucking-inc-0633-5003759
Marante Forwarding Co Inc,Hialeah,Miami-Dade,Logística - freight forwarding,48,Inc (posible inactiva),Sin web detectada,Ninguna encontrada,"Est. 1970; licencia OTI revocada 2003: verificar Sunbiz",https://www.manta.com/c/mm2vydb/marante-forwarding-co-inc
Truck Brokerage by National Inc,Medley,Miami-Dade,Transporte de carga (roca/arena),48,Inc,Web posiblemente desactualizada,Ninguna encontrada,"Est. 1986, 55 camiones (FMCSA); web http sin HTTPS, páginas .html estáticas",http://www.truckbrokeragebynational.com/
Construct Group Corp,Hialeah Gardens,Miami-Dade,Contratista civil (FDOT),23,Corp,Web posiblemente desactualizada,Yelp,"Est. 2001, ~100 empleados, 625 proyectos; título web 'HOME | My Site' (plantilla sin personalizar)",https://www.constructgroupcorp.com/
Professional Plumbing Corp,Hialeah,Miami-Dade,Contratista de plomería comercial,23,Corp,Web posiblemente desactualizada,Facebook,"Desde 1973 (W Hotel, Fontainebleau); dos dominios, uno en http",https://www.buildzoom.com/contractor/professional-plumbing-corp
AA Florida Pallets Inc,Medley,Miami-Dade,Fabricación/reciclaje de paletas,32,Inc,Web posiblemente desactualizada,Ninguna encontrada,"Título web con errata 'Welcom to AA Florida Pallets'",https://www.manta.com/c/mhx9tn8/aa-florida-pallets-inc
High Quality Trucking Inc,Medley,Miami-Dade,Transporte de carga/contenedores,48,Inc,Web posiblemente desactualizada,Ninguna encontrada,"Est. 2006, 66 camiones; dominio no coincide con la marca",https://www.carriersource.io/carriers/high-quality-trucking-inc
Hialeah Bakery and Foods Inc,Hialeah,Miami-Dade,Panadería,31,Inc,Tiene web,Facebook,"Est. 1996, 24h; contacto con Gmail (señal de baja madurez digital)",https://www.facebook.com/hialeahbakery/
Los Tres Conejitos Bakery,Hialeah,Miami-Dade,Panadería,31,No verificado,No verificado,Yelp,"Est. 2001, familiar; solo Yelp",https://www.yelp.com/biz/los-tres-conejitos-bakery-hialeah
Tango Body Shop,Hialeah,Miami-Dade,Automotriz - carrocería,81,No verificado,No verificado,Yelp,"20+ años; solo Yelp",https://www.yelp.com/biz/tango-body-shop-hialeah
Pro Collision Center LLC,Hialeah,Miami-Dade,Automotriz - carrocería,81,LLC,Presencia desordenada,Yelp; BBB,"Desde 2008, I-Car Gold; dos dominios distintos",https://www.bbb.org/us/fl/hialeah/profile/auto-body-repair-and-painting/procollision-center-llc-0633-90024812
Sari Express Forwarders Inc,Hialeah,Miami-Dade,Logística - freight forwarding,48,Inc,No verificado,Ninguna encontrada,Solo Manta,https://www.manta.com/c/mm43fmb/sari-express-forwarders-inc
Global Cargo Connection Inc,Hialeah,Miami-Dade,Logística - consolidación de carga,48,Inc,No verificado,Ninguna encontrada,Categoría Freight Forwarding Manta Hialeah,https://www.manta.com/mb_55_B52DB05K_33S/freight_forwarding/hialeah_fl
Marante Distributors Corp,Hialeah,Miami-Dade,Distribución mayorista,42,Corp,No verificado,Ninguna encontrada,Solo Yahoo Local,https://local.yahoo.com/info-211983306-marante-distributors-corp-hialeah/
Medina & Son Plumbing Supply Inc,Hialeah,Miami-Dade,Distribución suministros de plomería,42,Inc,Tiene web,Facebook; Yelp,"Desde 1987, 84+ reseñas",https://www.yelp.com/biz/medina-and-son-plumbing-supply-hialeah
Manny's Plumbing Service,Hialeah,Miami-Dade,Plomería,23,No verificado,No verificado,Ninguna encontrada,"Manta: est. 1993",https://www.manta.com/c/mmf1sbc/manny-s-plumbing-service
All Star Aluminum Windows & Doors Inc,Hialeah,Miami-Dade,Ventanas/puertas de aluminio,33,Inc,Tiene web,Facebook; Yelp; Nextdoor,Fundada 2003,https://www.bbb.org/us/fl/hialeah/profile/impact-windows/all-star-aluminum-windows-doors-inc-0633-90034252
Panther & Co Inc,Medley,Miami-Dade,Transporte y almacenaje,48,Inc,Tiene web,Facebook; Instagram,"Est. 1989, ~17 empleados, ~$2.7M",https://www.manta.com/c/mtqlxt4/panther-co-inc
